,URL,Sentence
13,https://www.seek.co.nz/job/50161366?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,"Heavy emphasis on achievement and details – getting things done efficiently, effectively and to the highest quality standards"
14,https://www.seek.co.nz/job/50161366?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,The ability to take a flexible approach and to adapt to change quickly
15,https://www.seek.co.nz/job/50161366?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,"Have tenacity, a can do attitude and the ability to think quickly and make accurate judgements. "
16,https://www.seek.co.nz/job/50161366?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,University rocketry or FSAE experience
17,https://www.seek.co.nz/job/50161043?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,Data Engineer super star required to join my clients high performing team for a permanent position.
18,https://www.seek.co.nz/job/50161043?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,This is your chance to work with a reputed organisation and be part of their major programme.
19,https://www.seek.co.nz/job/50161043?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,"To be successful in this role, you will have key competencies with some or all of the following:"
20,https://www.seek.co.nz/job/50160948?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,Security monitoring on a variety of platforms
21,https://www.seek.co.nz/job/50160948?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,"Investigate and qualify alerts, collaborating with the Cyber Security Incident Response Team (CSIRT) to resolve issues"
22,https://www.seek.co.nz/job/50160948?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,Document and develop procedures for handling alerts
23,https://www.seek.co.nz/job/50160948?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,Proactive and reactive security incident handling
24,https://www.seek.co.nz/job/50160948?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,Perform vulnerability assessments
25,https://www.seek.co.nz/job/50160948?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,Out of hours and on-call support as required
26,https://www.seek.co.nz/job/50160948?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,Minimum of 2 years' hands-on experience in infosec
27,https://www.seek.co.nz/job/50160948?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,"Experience with security monitoring tools, ideally in a SOC or CSIRT environment"
28,https://www.seek.co.nz/job/50160948?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,"Knowledge of various security protocol and collection analysis tools such as Snort, TCPDump and WireShark"
29,https://www.seek.co.nz/job/50160948?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,"Experience with programming and scripting languages such as Perl, Ruby or Python"
30,https://www.seek.co.nz/job/50160948?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,Experience with pen testing tools (ideal)
31,https://www.seek.co.nz/job/50160948?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,"Excellent communications skills, written and verbal"
32,https://www.seek.co.nz/job/50160866?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,Who we are
33,https://www.seek.co.nz/job/50160866?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,"At Qrious, we unleash data to help New Zealand organizations win big in the digital world. We're passionate about leveraging the power of data to enable our customers to grow in intelligence and thrive."
34,https://www.seek.co.nz/job/50160866?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,"Qrious is owned by Spark NZ and offers a range of products and services across data, analytics, AI, and data-powered customer engagement."
35,https://www.seek.co.nz/job/50160866?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,We work on exciting and innovative projects that:
36,https://www.seek.co.nz/job/50160866?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,Help government agencies gain insight through machine learning
37,https://www.seek.co.nz/job/50160866?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,Inject AI technologies into projects of national significance
38,https://www.seek.co.nz/job/50160866?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,Use predictive analysis to find cost savings for organizations
39,https://www.seek.co.nz/job/50160866?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,Use natural language processing to optimize contact centers
40,https://www.seek.co.nz/job/50160866?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,Deliver marketing automation to enhance the customer experience
41,https://www.seek.co.nz/job/50160866?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,And so much more!
42,https://www.seek.co.nz/job/50160866?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,What you'll do
43,https://www.seek.co.nz/job/50160866?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,"As Site Reliability Engineer you will report to the chapter lead of your team and work with engineers, architects, data scientists and BI experts to effectively deliver customer projects and maintain internal platforms. You need to move comfortably within the cloud, cloud automation, and cloud development practices."
44,https://www.seek.co.nz/job/50160866?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,The technologies that Qrious is using are world-class big data technologies and require the successful candidate to have the aptitude to adapt in this fast-moving environment.
45,https://www.seek.co.nz/job/50160866?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,"This will cover a broad range of activities, including:"
46,https://www.seek.co.nz/job/50160866?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,Outstanding communication on Cloud technologies and Automation.
47,https://www.seek.co.nz/job/50160866?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,Clear understanding and hands-on knowledge on SCRUM based Software development and Operation.
48,https://www.seek.co.nz/job/50160866?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,"Working closely with the Qrious data science team, consulting solutions, and data product teams to achieve the business outcomes."
49,https://www.seek.co.nz/job/50160866?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,Enhanced Troubleshooting capability in mixed-platform environments.
50,https://www.seek.co.nz/job/50160866?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,Must have:
51,https://www.seek.co.nz/job/50160866?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,3+ years with a major development language (Java / TypeScript / Python)
52,https://www.seek.co.nz/job/50160866?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,"Cloud engineering solutions with AWS, Azure or GCP"
53,https://www.seek.co.nz/job/50160866?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,"Infrastructure as Code using Terraform, CloudFormation"
54,https://www.seek.co.nz/job/50160866?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,Serverless framework
55,https://www.seek.co.nz/job/50160866?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,"Configuration management with Ansible, SaltStack"
56,https://www.seek.co.nz/job/50160866?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,"CI/CD pipelines with GitLab, Bitbucket and Azure DevOps"
57,https://www.seek.co.nz/job/50160866?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,Platform monitoring and alerting with Datadog
58,https://www.seek.co.nz/job/50160866?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,Maintain Linux based platforms
59,https://www.seek.co.nz/job/50160866?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,Nice to have:
60,https://www.seek.co.nz/job/50160866?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,Linux / Windows System Administration
61,https://www.seek.co.nz/job/50160866?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,Networking in Hybrid Cloud environments
62,https://www.seek.co.nz/job/50160866?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,Openshift / Kubernetes
63,https://www.seek.co.nz/job/50160866?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,"Big Data Services (EMR, Glue, Kinesis, .etc)"
64,https://www.seek.co.nz/job/50160866?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,"Data warehouses (e.g. Redshift, Snowflake)"
65,https://www.seek.co.nz/job/50160866?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,"ETL and orchestration tools (Matillion, Airflow)"
66,https://www.seek.co.nz/job/50160866?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,"Certifications (AWS, Azure, GCP)"
67,https://www.seek.co.nz/job/50160866?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,Why you should join Qrious
68,https://www.seek.co.nz/job/50160866?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,"Qrious is a rapidly growing business with a strong focus on building an innovative and engaged culture. You'll be surrounded by opportunities to expand your skills, test your creative boundaries, share new ideas, and most importantly have fun doing it."
69,https://www.seek.co.nz/job/50160716?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,"Strong development background with 3+ years of development experience in one or more programming languages (Java, Groovy, Node.js, Python)"
70,https://www.seek.co.nz/job/50160716?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,SQL Server knowledge and experience in writing and using SQL queries
71,https://www.seek.co.nz/job/50160716?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,"Experience with AWS Tools: S3, Data Pipeline, DMS, Glue, CloudWatch, Athena, CodeCommit, VPC, IAM, SQS/SNS, API Gateway"
72,https://www.seek.co.nz/job/50160716?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,Experience in data warehousing and ETL processes ideally Snowflake and Matillion
73,https://www.seek.co.nz/job/50160716?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,Experience integrating with third-party APIs
74,https://www.seek.co.nz/job/50160716?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,Excellent organisation skills
75,https://www.seek.co.nz/job/50160716?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,Strong communication skills
76,https://www.seek.co.nz/job/50160716?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,Curious mind and a hard-working attitude
77,https://www.seek.co.nz/job/50160716?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,High level of initiative and desire to get things done
78,https://www.seek.co.nz/job/50160716?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,Willingness to introduce change and challenge existing processes and procedures
79,https://www.seek.co.nz/job/50160715?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,The Opportunity:
80,https://www.seek.co.nz/job/50160715?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,Great opportunity to join a small well-funded R+D Team based on the North Shore.
81,https://www.seek.co.nz/job/50160715?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,The role involves working on their core 3D rendering software and creating some mind blowing technology.
82,https://www.seek.co.nz/job/50160715?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,"With huge demand for their market-leading product, they are now looking to grow the R+D team."
83,https://www.seek.co.nz/job/50160715?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0, 
84,https://www.seek.co.nz/job/50160715?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,The Role Requirement:
85,https://www.seek.co.nz/job/50160715?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,They are now looking to hire a skilled C++ software engineer who has a passion for 3D.
86,https://www.seek.co.nz/job/50160715?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,This product is the best in class for 3D rendering in games and movies.
87,https://www.seek.co.nz/job/50160715?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,The tools and technologies include:
88,https://www.seek.co.nz/job/50160715?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,C++
89,https://www.seek.co.nz/job/50160715?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,CUDA
90,https://www.seek.co.nz/job/50160715?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,OpenGL
91,https://www.seek.co.nz/job/50160715?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,GL/SL
92,https://www.seek.co.nz/job/50160715?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,We are not looking for detailed experience with these tools other than C++ but would welcome any knowledge/experience with them.
93,https://www.seek.co.nz/job/50160715?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,The company will pay for the best and can offer the chance to work on a globally successful and market leading 3D product.
94,https://www.seek.co.nz/job/50160715?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,To find out more hit apply now or call Barry on +64 27 499 2733.
95,https://www.seek.co.nz/job/50160688?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,A chance to work in a funded start-up
96,https://www.seek.co.nz/job/50160688?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,Be given freedom to explore and problem solve
97,https://www.seek.co.nz/job/50160688?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,Flexible working available
98,https://www.seek.co.nz/job/50160688?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,Commercial experience with Node
99,https://www.seek.co.nz/job/50160688?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,Cloud intuitive - Ideally Azure or AWS
100,https://www.seek.co.nz/job/50160688?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,Any C# awareness and Docker experience would be useful
101,https://www.seek.co.nz/job/50160688?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,Happy to work in an agile environment.
102,https://www.seek.co.nz/job/50160601?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,Do you like working in a small team where you can make a real difference?  
103,https://www.seek.co.nz/job/50160601?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,"We are a small dynamic company, delivering highly valued tools to the health sector in Australasia, and we are seeking an experienced developer, who will play a critical role in developing and managing our SaaS products and taking them to the next level."
104,https://www.seek.co.nz/job/50160601?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,"We have a history of getting things done fast and we have the backing of a strong and growing client base.  Energised by the challenge and opportunity of new and disruptive technologies we need a hands-on experienced technology leader, that wants to make their mark in the SaaS world. You will be working on the next phase of our SaaS products, across the full SDLC and external APIs."
105,https://www.seek.co.nz/job/50160601?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,We are looking for someone who 
106,https://www.seek.co.nz/job/50160601?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,Loves a challenge
107,https://www.seek.co.nz/job/50160601?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,Is really positive and passionate to achieve
108,https://www.seek.co.nz/job/50160601?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,Is a problem solver with a high degree of self-sufficiency
109,https://www.seek.co.nz/job/50160601?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,Is a creative and innovative thinker
110,https://www.seek.co.nz/job/50160601?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,"Is an excellent communicator – with colleagues, clients and users"
111,https://www.seek.co.nz/job/50160601?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,Has experience with continuous deployment and agile methodologies
112,https://www.seek.co.nz/job/50160601?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,Values clean and maintainable code 
113,https://www.seek.co.nz/job/50160601?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,Detail oriented without losing track of the big picture
114,https://www.seek.co.nz/job/50160601?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,"Reliable and dependable, gets the job done"
115,https://www.seek.co.nz/job/50160601?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,Is comfortable working in a fast-paced environment with project deadlines
116,https://www.seek.co.nz/job/50160601?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0, 
117,https://www.seek.co.nz/job/50160601?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,Experience:
118,https://www.seek.co.nz/job/50160601?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,4+ years’ experience as a Developer with PHP
119,https://www.seek.co.nz/job/50160601?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,Strong experience with relational databases (MySQL) and ODBC connections
120,https://www.seek.co.nz/job/50160601?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,Linux Server management / Apache
121,https://www.seek.co.nz/job/50160601?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,"Knowledge and experience with modern JavaScript libraries and frameworks (React JS), tools and plugins"
122,https://www.seek.co.nz/job/50160601?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,"Website frontend UI - HTML, CSS, JavaScript"
123,https://www.seek.co.nz/job/50160601?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,Experienced with Git
124,https://www.seek.co.nz/job/50160601?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,"Web APIs, Internal and public RESTful Web APIs"
125,https://www.seek.co.nz/job/50160601?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,"Wordpress, visual design and user experience skills "
126,https://www.seek.co.nz/job/50160601?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,What to expect    
127,https://www.seek.co.nz/job/50160601?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,"We have a relaxed, flexible working environment. We are focused on long term relationships and using technology to make life easier, making sure we have lots of fun along the way. "
128,https://www.seek.co.nz/job/50160601?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,"Based in our bright, modern office in the heart of Ponsonby. If this sounds like an opportunity and challenge that may be right for you then send through your CV and covering letter."
129,https://www.seek.co.nz/job/50160628?type=standard#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,Visit www.infosys.com to see how Infosys (NYSE: INFY) can help your enterprise navigate your next.
130,https://www.seek.co.nz/job/50160628?type=standard#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,"
Short Description: Work on a variety of critical client engagements with some of Infosys largest and most successful clients in New Zealand. New Zealand citizens and PR holders are encouraged to apply. We are unable to sponsor at this time."
131,https://www.seek.co.nz/job/50160628?type=standard#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,Preferred –
132,https://www.seek.co.nz/job/50160628?type=standard#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,"• Knowledge of Telecom Domain, Billing systems."
133,https://www.seek.co.nz/job/50160628?type=standard#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,EOE/Minority/Female/Veteran/Disabled/Sexual Orientation/Gender Identity/National Origin
134,https://www.seek.co.nz/job/50159984?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,Why Fraedom?  
135,https://www.seek.co.nz/job/50159984?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,"Fraedom develops a global SaaS platform empowering organisations to better manage their business spend. Early in 2018, Fraedom became a wholly-owned subsidiary of Visa – one of the world's most advanced payment processing networks. We have a large global presence employing over 450 staff, conveniently situated in a vibrant Auckland Britomart location. "
136,https://www.seek.co.nz/job/50159984?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,What kind of talent are we seeking?
137,https://www.seek.co.nz/job/50159984?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,"In this role, you will have a balance of improvements, system’s operations, and unplanned work with occasional contribution to strategic initiatives. To succeed you will work closely with all members of the Technology Group and other departments to make visible and improve the reliability, availability, performance, monitoring and operations of Fraedom products and services. This role is also accountable for the reliability of Fraedom’s globally hosted environments and services to ensure:"
138,https://www.seek.co.nz/job/50159984?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,Global coverage for the SRE Team
139,https://www.seek.co.nz/job/50159984?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,Fraedom applications and infrastructure performance is well within service level objectives
140,https://www.seek.co.nz/job/50159984?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,Effective monitoring and reporting on production and preproduction systems is maintained
141,https://www.seek.co.nz/job/50159984?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,"Infrastructure changes, application releases, system patches and overall performance are all managed to the highest standards"
142,https://www.seek.co.nz/job/50159984?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,Prevent repetitive failures by collaborating with relevant teams and learning from incidents
143,https://www.seek.co.nz/job/50159984?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,Fraedom production infrastructure benefits from a process of continuous improvement
144,https://www.seek.co.nz/job/50159984?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,Key to this position will be developing advanced knowledge of Fraedom technologies and the Fraedom platform that will allow you to excel in the technical support arena. You will need to be committed to continuous improvement.
145,https://www.seek.co.nz/job/50159984?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,Valuable Skills and Experience:
146,https://www.seek.co.nz/job/50159984?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,"Exposure to Microsoft stack (Windows Server, IIS, SQL Server, .NET Framework et al)"
147,https://www.seek.co.nz/job/50159984?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,"Monitoring systems (New Relic, Splunk, Logic Monitor and SQL Monitor)"
148,https://www.seek.co.nz/job/50159984?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,Operational understanding of distributed systems (SaaS)
149,https://www.seek.co.nz/job/50159984?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,"Troubleshooting experience, especially on production systems"
150,https://www.seek.co.nz/job/50159984?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,Critical thinking skills and understanding of complex systems
151,https://www.seek.co.nz/job/50159984?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,Familiarity and understanding of infrastructure
152,https://www.seek.co.nz/job/50159984?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,Experience working with Cloud (AWS) and Managed Infrastructure providers
153,https://www.seek.co.nz/job/50159984?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,Source Control (Git and SVN)
154,https://www.seek.co.nz/job/50159984?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,Scripting Language (PowerShell)
155,https://www.seek.co.nz/job/50159984?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,Soft skills
156,https://www.seek.co.nz/job/50159984?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,Meet the Team: 
157,https://www.seek.co.nz/job/50159984?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,"Amidst sharing the love for coffee and family time, the team is often brawling between Star Wars and Wonder Women, you can choose your clan or probably walk away with creating your own squad."
158,https://www.seek.co.nz/job/50159984?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,Our culture and people are the not-so-secret key to our success.
159,https://www.seek.co.nz/job/50159984?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,"Over the past year alone, we’ve welcomed over 129 talented new people to our business. Could you be next?"
160,https://www.seek.co.nz/job/50159984?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,What's on Offer?
161,https://www.seek.co.nz/job/50159984?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,"An exciting opportunity to work in a vibrant and challenging organisation. We encourage an empowering and self-driven work environment. Where individuals can be themselves, share their interests and enjoy their work. "
